symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
ADANIENSOL,30,demand,2026-01-01 09:45:00,Explosive,UNTESTED,2.1
INDUSTOWER,30,demand,2026-01-01 15:15:00,Explosive,"TESTED, NOT BROKEN",2.13
HINDCOPPER,30,demand,2026-01-02 11:45:00,Explosive,UNTESTED,2.13
SBIN,15,demand,2026-01-01 14:00:00,Moderate,"TESTED, NOT BROKEN",2.15
SBIN,30,demand,2026-01-01 14:15:00,Explosive,"TESTED, NOT BROKEN",2.15
LAURUSLABS,15,demand,2025-12-30 14:00:00,Explosive,UNTESTED,2.17
BHARATFORG,30,demand,2025-12-30 09:45:00,Explosive,UNTESTED,2.17
FORTIS,30,demand,2026-01-01 15:15:00,Strong,UNTESTED,2.18
FIRSTCRY,30,demand,2025-12-30 14:45:00,Moderate,UNTESTED,2.18
AXISBANK,15,demand,2025-12-30 11:45:00,Strong,UNTESTED,2.18
DEVYANI,15,demand,2025-12-31 13:15:00,Explosive,UNTESTED,2.23
POWERGRID,15,demand,2026-01-01 09:45:00,Strong,"TESTED, NOT BROKEN",2.24
HAVELLS,15,demand,2025-12-30 13:45:00,Moderate,UNTESTED,2.28
GVT&D,15,supply,2026-01-02 10:30:00,Moderate,UNTESTED,2.28
DBREALTY,15,demand,2026-01-02 09:15:00,Explosive,UNTESTED,2.29
CUB,15,supply,2025-12-31 15:15:00,Explosive,UNTESTED,2.29
DBREALTY,30,demand,2026-01-02 09:15:00,Strong,UNTESTED,2.29
IREDA,15,demand,2026-01-02 11:30:00,Explosive,UNTESTED,2.32
KEC,30,demand,2025-12-30 11:45:00,Explosive,UNTESTED,2.33
TATATECH,15,demand,2026-01-01 14:15:00,Moderate,UNTESTED,2.35
JSWENERGY,15,demand,2026-01-01 13:45:00,Strong,UNTESTED,2.37
VBL,15,demand,2025-12-30 10:15:00,Strong,UNTESTED,2.39
ANGELONE,30,demand,2026-01-01 14:15:00,Moderate,UNTESTED,2.4
TATATECH,15,demand,2025-12-31 10:30:00,Moderate,"TESTED, NOT BROKEN",2.42
NYKAA,15,demand,2025-12-30 09:45:00,Strong,UNTESTED,2.48
LAURUSLABS,30,demand,2025-12-30 13:15:00,Moderate,UNTESTED,2.49
TMPV,15,demand,2025-12-30 15:15:00,Strong,"TESTED, NOT BROKEN",2.52
RCF,15,demand,2026-01-01 14:45:00,Strong,UNTESTED,2.57
CESC,30,demand,2026-01-02 12:15:00,Strong,UNTESTED,2.59
UPL,15,demand,2025-12-30 14:45:00,Strong,"TESTED, NOT BROKEN",2.59
BAJAJFINSV,30,demand,2025-12-30 13:15:00,Strong,UNTESTED,2.59
BAJAJFINSV,15,demand,2025-12-30 13:00:00,Strong,UNTESTED,2.63
KALYANKJIL,15,demand,2026-01-01 15:00:00,Strong,UNTESTED,2.64
ANGELONE,15,demand,2026-01-01 14:15:00,Strong,UNTESTED,2.64
VEDL,30,demand,2026-01-01 14:45:00,Strong,UNTESTED,2.64
BHARATFORG,15,demand,2025-12-29 13:30:00,Explosive,UNTESTED,2.64
FIRSTCRY,30,demand,2025-12-30 13:15:00,Strong,UNTESTED,2.65
ACMESOLAR,15,demand,2025-12-31 09:30:00,Explosive,UNTESTED,2.65
ANGELONE,30,supply,2025-12-29 11:45:00,Strong,UNTESTED,2.66
GAIL,15,demand,2025-12-31 09:30:00,Explosive,UNTESTED,2.67
WIPRO,15,demand,2025-12-31 14:45:00,Explosive,UNTESTED,2.71
DBREALTY,15,demand,2026-01-01 14:45:00,Strong,"TESTED, NOT BROKEN",2.71
WIPRO,30,demand,2025-12-31 14:45:00,Strong,UNTESTED,2.71
TATAPOWER,15,demand,2026-01-02 09:30:00,Explosive,UNTESTED,2.71
PAYTM,15,demand,2026-01-02 10:00:00,Explosive,UNTESTED,2.74
PHOENIXLTD,15,demand,2025-12-31 10:30:00,Strong,UNTESTED,2.78
RELIANCE,30,demand,2025-12-31 11:15:00,Strong,UNTESTED,2.79
RELIANCE,15,demand,2025-12-31 11:15:00,Explosive,UNTESTED,2.81
HINDZINC,30,supply,2025-12-29 12:15:00,Strong,UNTESTED,2.82
REDINGTON,15,demand,2025-12-30 14:15:00,Strong,"TESTED, NOT BROKEN",2.83
INOXWIND,30,demand,2026-01-02 10:15:00,Strong,UNTESTED,2.86
CONCOR,30,demand,2025-12-30 13:45:00,Explosive,UNTESTED,2.86
JMFINANCIL,15,demand,2025-12-30 12:45:00,Explosive,UNTESTED,2.86
GLENMARK,30,demand,2025-12-30 13:45:00,Strong,"TESTED, NOT BROKEN",2.9
CUB,15,supply,2025-12-31 14:30:00,Explosive,UNTESTED,2.92
BANKINDIA,30,demand,2026-01-01 11:45:00,Strong,UNTESTED,2.93
M&MFIN,15,demand,2025-12-30 11:15:00,Strong,UNTESTED,2.93
ONGC,15,demand,2025-12-31 09:30:00,Explosive,UNTESTED,2.99
SBICARD,15,demand,2025-12-31 11:15:00,Moderate,UNTESTED,3.0
AUBANK,30,demand,2025-12-29 13:15:00,Explosive,UNTESTED,3.0
SAREGAMA,15,demand,2025-12-29 10:45:00,Strong,"TESTED, NOT BROKEN",3.02
INOXWIND,15,demand,2026-01-02 10:15:00,Explosive,UNTESTED,3.03
VBL,15,demand,2025-12-26 11:45:00,Moderate,UNTESTED,3.04
DEVYANI,15,demand,2025-12-31 10:00:00,Moderate,UNTESTED,3.05
SCI,30,demand,2025-12-30 13:45:00,Strong,"TESTED, NOT BROKEN",3.05
VOLTAS,30,demand,2026-01-02 09:45:00,Explosive,UNTESTED,3.06
VOLTAS,15,demand,2026-01-02 09:30:00,Explosive,UNTESTED,3.06
NCC,30,demand,2025-12-31 09:45:00,Explosive,UNTESTED,3.07
PRESTIGE,30,demand,2025-12-31 10:45:00,Strong,UNTESTED,3.07
PRESTIGE,15,demand,2025-12-31 10:30:00,Strong,UNTESTED,3.09
ADANIPOWER,15,demand,2026-01-01 09:45:00,Explosive,UNTESTED,3.1
IOC,15,demand,2025-12-31 09:30:00,Explosive,UNTESTED,3.14
SBILIFE,30,demand,2025-12-31 09:15:00,Strong,"TESTED, NOT BROKEN",3.2
FORTIS,15,demand,2026-01-01 13:45:00,Explosive,UNTESTED,3.24
ACMESOLAR,15,demand,2025-12-30 13:15:00,Moderate,"TESTED, NOT BROKEN",3.24
GODREJPROP,15,demand,2025-12-31 12:15:00,Strong,"TESTED, NOT BROKEN",3.27
INDUSTOWER,15,demand,2026-01-01 10:00:00,Explosive,UNTESTED,3.31
BHEL,15,demand,2026-01-01 11:15:00,Moderate,UNTESTED,3.33
